DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,HTTPS_HOSTNAME,IP_ADDRESS,SHORTENING,REDIRECTING,SUSPICIOUS_TLD,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,TS_TRUSTED,TS_RATING,TS_REVIEWS_COUNT,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
justinboots.com,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,349356,0,0.0,0,100,189,2,1,1,1,1,1,1,1,1,1,1160296,3,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
tonerpreis.de,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,84995,1,2.3,44,88,29,1,1,0,1,1,1,1,1,1,1,7835539,2,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
slapiton.tv,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,67123,1,2.3,227,36,42,2,1,0,1,1,1,1,1,1,1,11758696,2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
magnetarshop.de,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,446578,0,NaN,NaN,100,NaN,1,1,0,1,1,1,1,1,1,1,59135619,1,0,5,1,1,4.6,962,NaN,NaN,NaN,NaN,NaN,NaN,1
shop-whisky-vodka-rum.com,21,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,285479,1,NaN,NaN,81,NaN,4,1,0,1,1,1,1,1,1,1,19270269,1,0,0,0,1,4.93,861,NaN,NaN,NaN,NaN,NaN,NaN,1
gesunderschuh.de,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1915,0,NaN,NaN,100,NaN,3,1,0,1,1,1,1,1,1,1,16639803,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bogeybros.co,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,450170,0,4.8,1131,92,NaN,4,1,1,1,1,1,1,1,1,1,12179192,2,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
transparent-beraten.de,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,320070,0,4.8,230,100,6,4,1,1,1,1,1,1,1,1,1,556263,4,0,0,0,1,4.89,124,NaN,NaN,NaN,NaN,NaN,NaN,1
studybay.com.br,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,264611,0,NaN,NaN,100,NaN,3,1,0,1,1,1,1,1,1,1,36636718,1,0,14,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
k-d.com,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,228537,1,0.0,0,100,NaN,4,0,0,1,1,1,1,1,1,1,953335,4,0,0,0,1,4.86,3278,NaN,NaN,NaN,NaN,NaN,NaN,1
scytek.com,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,30814,1,3.8,2,85,NaN,1,1,0,1,1,1,1,1,1,1,7936581,2,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
schupp24.de,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,74408,1,4.2,6,100,NaN,NaN,1,0,1,1,1,1,1,1,1,29677080,1,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
